lambda,kappa,Asset,Weight
2.0,1.0,QQQ,0.040068724681624465
2.0,1.0,SLV,0.012574756076310357
2.0,1.0,SPY,0.0411901429305098
2.0,1.0,TLT,-1.5259595825376474e-10
2.0,1.0,TSLA,0.011973575556295604
2.0,1.0,UNG,6.686915285825723e-10
2.0,1.0,USO,0.004665894452873451
2.0,1.0,V,0.02075890932791998
2.0,1.0,VNQ,0.006105917081942086
2.0,1.0,WEAT,0.0033560990874027395
2.0,1.0,WMT,0.05883672005893692
2.0,1.0,XOM,0.018995452519832933
3.0,0.1,AAPL,0.11764586982835022
3.0,0.1,AGG,-2.4702638426817587e-09
3.0,0.1,AMZN,3.6593355940308812e-09
3.0,0.1,BAC,1.759392792306825e-09
3.0,0.1,BND,-2.4597703791828296e-09
3.0,0.1,BNDX,-2.9516910605482904e-09
3.0,0.1,CORN,3.662392601157366e-09
3.0,0.1,CSCO,2.3292781349245588e-09
3.0,0.1,DBA,0.0041261905241760915
3.0,0.1,DBC,5.391330375344814e-09
3.0,0.1,DIA,1.5175484957501999e-09
3.0,0.1,DIS,2.1702717676531226e-10
3.0,0.1,EEM,6.703352351830742e-11
3.0,0.1,EFA,3.831402867293259e-10
3.0,0.1,EMB,-6.96829764348758e-10
3.0,0.1,GLD,2.116462741710571e-08
3.0,0.1,GOOGL,0.10368004883430174
3.0,0.1,HD,4.529814297132482e-09
3.0,0.1,HYG,-8.11148419332752e-10
3.0,0.1,IEF,-1.8700359993764893e-09
3.0,0.1,IWM,9.084883771927442e-10
3.0,0.1,JNJ,4.4519348650657275e-10
3.0,0.1,JPM,0.0026522660433131763
3.0,0.1,KO,1.090807772937979e-09
3.0,0.1,LQD,-1.020692982544739e-09
3.0,0.1,MA,2.3134842573053997e-09
3.0,0.1,META,0.10614689610165841
3.0,0.1,MSFT,0.06657512621977864
3.0,0.1,MUB,-2.4651173777800054e-09
3.0,0.1,PALL,2.552008978779603e-12
3.0,0.1,PFE,6.755671427193273e-10
3.0,0.1,PG,3.823049500643895e-09
3.0,0.1,QQQ,6.208208487875948e-09
3.0,0.1,SLV,4.8492564794189415e-09
3.0,0.1,SPY,2.6479593690777647e-09
3.0,0.1,TLT,-6.539268749644681e-10
3.0,0.1,TSLA,0.14041758402384086
3.0,0.1,UNG,4.605390905087515e-10
3.0,0.1,USO,5.149390241199554e-09
3.0,0.1,V,2.1833557760126966e-09
3.0,0.1,VNQ,1.9998188362663677e-10
3.0,0.1,WEAT,1.1413139337280652e-09
3.0,0.1,WMT,0.31949359952230316
3.0,0.1,XOM,0.13926235772334736
3.0,0.4,AAPL,0.07182764169406597
3.0,0.4,AGG,-1.5861584133031414e-08
3.0,0.4,AMZN,0.02459539336373788
3.0,0.4,BAC,2.9824167662773976e-07
3.0,0.4,BND,-1.5817238783876412e-08
3.0,0.4,BNDX,-1.907449061327515e-08
3.0,0.4,CORN,0.014723874451807385
3.0,0.4,CSCO,0.004724818153091773
3.0,0.4,DBA,0.1482372217728481
3.0,0.4,DBC,0.03111755488793991
3.0,0.4,DIA,0.0024996297058614042
3.0,0.4,DIS,2.1602666646151533e-09
3.0,0.4,EEM,4.1551695567841144e-09
3.0,0.4,EFA,1.1810690494414196e-08
3.0,0.4,EMB,-3.913605263835243e-09
3.0,0.4,GLD,0.08736982155902542
3.0,0.4,GOOGL,0.06343629568934349
3.0,0.4,HD,0.02826770821331645
3.0,0.4,HYG,2.481327486257808e-09
3.0,0.4,IEF,-1.2533381247088669e-08
3.0,0.4,IWM,3.818805886463636e-08
3.0,0.4,JNJ,1.255653039406211e-08
3.0,0.4,JPM,0.04005683206497986
3.0,0.4,KO,2.631461174611891e-08
3.0,0.4,LQD,-5.922562966818019e-09
3.0,0.4,MA,0.008903251264531365
3.0,0.4,META,0.0390078665282454
3.0,0.4,MSFT,0.08391005826951935
3.0,0.4,MUB,-1.303894753080988e-08
3.0,0.4,PALL,-1.1205431761314093e-09
3.0,0.4,PFE,8.469240477084783e-09
3.0,0.4,PG,0.02194669516152388
3.0,0.4,QQQ,0.06126772879187767
3.0,0.4,SLV,0.008487041749792736
3.0,0.4,SPY,0.036405844164608875
3.0,0.4,TLT,-5.412795412019698e-09
3.0,0.4,TSLA,0.03547244857190944
3.0,0.4,UNG,4.492454295373394e-09
3.0,0.4,USO,0.0016498673870106138
3.0,0.4,V,0.007059590796290749
3.0,0.4,VNQ,5.121527682095097e-09
3.0,0.4,WEAT,1.1731968840547302e-08
3.0,0.4,WMT,0.13455177423312753
3.0,0.4,XOM,0.04448070798367708
3.0,0.7,AAPL,0.047117432266032946
3.0,0.7,AGG,1.1932590646405079e-08
3.0,0.7,AMZN,0.02374024741433229
3.0,0.7,BAC,0.008984146554531518
3.0,0.7,BND,1.0045470374352429e-08
3.0,0.7,BNDX,2.021693780742643e-08
3.0,0.7,CORN,0.03450884148712813
3.0,0.7,CSCO,0.018284971290398647
3.0,0.7,DBA,0.13013627579254763
3.0,0.7,DBC,0.04201575624033818
3.0,0.7,DIA,0.03270934205070733
3.0,0.7,DIS,1.6043086778093357e-09
3.0,0.7,EEM,3.9599596804935086e-08
3.0,0.7,EFA,0.0031330979049357843
3.0,0.7,EMB,-7.422382957666539e-12
3.0,0.7,GLD,0.08944721859376165
3.0,0.7,GOOGL,0.044792373044228354
3.0,0.7,HD,0.02871329541531288
3.0,0.7,HYG,0.014359186167905182
3.0,0.7,IEF,-1.0300347997978353e-09
3.0,0.7,IWM,0.010082665221877948
3.0,0.7,JNJ,0.003903466044927012
3.0,0.7,JPM,0.03072445528701389
3.0,0.7,KO,0.010112704222902169
3.0,0.7,LQD,2.2599189945546716e-09
3.0,0.7,MA,0.018033424630417842
3.0,0.7,META,0.02522089899136603
3.0,0.7,MSFT,0.06201226659553418
3.0,0.7,MUB,2.6199213705259517e-05
3.0,0.7,PALL,-2.575599761505773e-09
3.0,0.7,PFE,6.677603629102195e-08
3.0,0.7,PG,0.04123898158746569
3.0,0.7,QQQ,0.05334722880567235
3.0,0.7,SLV,0.014211318661809521
3.0,0.7,SPY,0.049031836543203776
3.0,0.7,TLT,-5.796549515176802e-09
3.0,0.7,TSLA,0.019079921562671198
3.0,0.7,UNG,6.205574833028944e-09
3.0,0.7,USO,0.00480955533027625
3.0,0.7,V,0.02170101204288877
3.0,0.7,VNQ,2.8474262523818037e-08
3.0,0.7,WEAT,4.5432098438801846e-07
3.0,0.7,WMT,0.09029144879980185
3.0,0.7,XOM,0.028229800380543422
3.0,1.0,AAPL,0.02852913732938875
3.0,1.0,AGG,0.038067074771928715
3.0,1.0,AMZN,0.015990017813165273
3.0,1.0,BAC,0.008743142056552867
3.0,1.0,BND,0.0366691681386291
3.0,1.0,BNDX,0.05554254412862836
3.0,1.0,CORN,0.026366693237745216
3.0,1.0,CSCO,0.015132396816013886
3.0,1.0,DBA,0.0851326938757186
3.0,1.0,DBC,0.03125192348105175
3.0,1.0,DIA,0.028185038784458803
3.0,1.0,DIS,3.165312618415793e-08
3.0,1.0,EEM,0.0066854568016115785
3.0,1.0,EFA,0.013349864858535258
3.0,1.0,EMB,1.4093956257066543e-05
3.0,1.0,GLD,0.05918373365322492
3.0,1.0,GOOGL,0.027770789809888466
3.0,1.0,HD,0.019842182947773165
3.0,1.0,HYG,0.044147791371493154
3.0,1.0,IEF,0.010226459897681898
3.0,1.0,IWM,0.011896537007103285
3.0,1.0,JNJ,0.01380048004729016
3.0,1.0,JPM,0.020103739618380075
3.0,1.0,KO,0.015095689123334874
3.0,1.0,LQD,0.005143698563677729
3.0,1.0,MA,0.014762403376070352
3.0,1.0,META,0.01503641436840989
3.0,1.0,MSFT,0.038740704086147416
3.0,1.0,MUB,0.08363599572935103
3.0,1.0,PALL,-1.469494271459172e-09
3.0,1.0,PFE,0.003078398182484767
3.0,1.0,PG,0.03146798330477443
3.0,1.0,QQQ,0.03539035072398541
3.0,1.0,SLV,0.011027190543733675
3.0,1.0,SPY,0.03628554315561798
3.0,1.0,TLT,-1.1085303845531299e-10
3.0,1.0,TSLA,0.010534627001382383
3.0,1.0,UNG,4.3648542134384506e-08
3.0,1.0,USO,0.004261114575551121
3.0,1.0,V,0.01820284966990353
3.0,1.0,VNQ,0.004209777043828983
3.0,1.0,WEAT,0.004740271920719208
3.0,1.0,WMT,0.05448465585033776
3.0,1.0,XOM,0.01727129785792962
4.0,0.1,AAPL,0.09460872461742281
4.0,0.1,AGG,-1.455311400335178e-08
4.0,0.1,AMZN,2.4433766443673254e-08
4.0,0.1,BAC,1.09371592035183e-08
4.0,0.1,BND,-1.4539277373294996e-08
4.0,0.1,BNDX,-1.76735369080997e-08
4.0,0.1,CORN,3.4626970519396335e-08
4.0,0.1,CSCO,1.709373734834161e-08
4.0,0.1,DBA,0.12561588280339547
4.0,0.1,DBC,4.43314033294837e-08
4.0,0.1,DIA,1.0789116643169534e-08
4.0,0.1,DIS,1.2227677362891668e-09
4.0,0.1,EEM,9.041904328002101e-10
4.0,0.1,EFA,2.840474062513238e-09
4.0,0.1,EMB,-3.9722799949545695e-09
4.0,0.1,GLD,0.024242505704518528
4.0,0.1,GOOGL,0.09020153677751615
4.0,0.1,HD,3.424025478474873e-08
4.0,0.1,HYG,-3.789133311274381e-09
4.0,0.1,IEF,-1.0710377903509991e-08
4.0,0.1,IWM,6.162715069103812e-09
4.0,0.1,JNJ,4.1917592490710635e-09
4.0,0.1,JPM,0.005102838700860982
4.0,0.1,KO,8.198182816183377e-09
4.0,0.1,LQD,-5.73041193527569e-09
4.0,0.1,MA,1.494156557467931e-08
4.0,0.1,META,0.08014908792487331
4.0,0.1,MSFT,0.07013159613345692
4.0,0.1,MUB,-1.3820207621657654e-08
